Types de métiers recherchés,Expérience professionnelle,Compétences,Formation,Compétences clés,Langues,Plus d'informations
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet technicien informatique pulsartec 10.2015 - 10.2016 o	La planification et le suivie. o	L’ordonnancement et  l attribution des taches. o	L’accomplissement du travail  et la résolution de problème persistante (physique/virtuel). o	La motivation du personnel pour le bon rendement… technicien informatique opentech 03.2017 - 07.2017 o	Installation complète du pack informatique. o	Installation des systèmes d’exploitation (Windows et linux). o	Assure la connectivite entre clients et serveurs. o	Planification des activités avec les techniciens au sujet des installations et mise à jour  de L’infrastructure. o	Amélioration de la disponibilité et les performances des systèmes. o	Résolution des problèmes détectés par les équipes supports. o	Configuration des comptes messagerie sur Outlook. o	Gérer les domaines et forets. o	Réparation de matériel informatique (pc, lap-top, printer, scanner, etc...) o	Installation & configuration des caméras de surveillance. o	Commercialisation du High-tech. o	Dépannage informatique à distance. o	Formation des nouveaux embauchés… o	Effectuer les mises à jour nécessaires (hardware et software)… Agent de support IT Parthenon holding Depuis 10.2018 o	Administration de la messagerie (Gsuite). o	Administration Active directory, serveur DNS, Serveur DHCP, créer des GPO. o	Gestion des droits d'accès des utilisateurs. o	Création et administration des partages d’imprimantes. o	Organisation et suivie des sauvegardes (données et systèmes). o	Mise à jour des logiciels et systèmes d’exploitation et l’application des correctifs (WSUS). o	Formation du personnel à l’usage des outils mis à disposition, nouveaux logiciels et de la nouvelles pratiques. o	Administration de l’infrastructure de la virtualisation avec VMWARE (Installation et configuration des machines virtuelles). o	Administration des plateformes de l’antivirus (Kaspersky Endpoint Security Cloud). o	Administration et configuration du contrôleur Wifi (RUKUS). o	Gestion du stockage (Serveur QNAP). o	Paramétrage et intégration des machines MacOs au domaine Active directory."," Réseaux :  Administration et mise en ouvre des réseaux (Active Directory, DHCP, DNS, VPN, etc.…) Configuration d’équipement CISCO. Configuration d’équipement Grandstrem. Sécurité : firewal, gestion des droits. Configuration et gestion du réseau TCP/IP, LAN, WAN. Protocole de routage RIP, EIGRP et OSPF …  Système :  Administration des systèmes linux cote serveur et client (debian, Fedora). Administration de systèmes Windows client/serveur. Microsoft office 2013/2016 et office 365. Diagnostiquer et réparer les équipements. Restaurer (sauvegarde système, récupération des données)…", Niveau d'études : Bac+3 technicien spécialisé en réseaux informatique ntic2 09.2013 - 07.2015 technicien spécialisé en réseaux informatique, CISCO DEBIAN DHCP DNS FEDORA LINUX MICROSOFT OSPF TCP IP VPN WAN, Anglais Intermédiaire Arabe Bon niveau Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Développeur Full Stack Free lance 05.2024 - 10.2024 Création d'une application de gestion d'un cabinet dentaire : Laravel. Création d'une application de gestion de bibliothèque : Spring Boot, Angular", HTML | CSS | JavaScript Bootstrap | TailwindCss React js | Angular PHP | Laravel Java | Spring boot | Spring MVC | Spring Cloud MySQL | SQL Server | MongoDB Git / GitHub / GitLab Jira / Sonarqube / Docker, Niveau d'études : Bac+3 Développement Web Full Stack et Devops Supemir 01.2024 - 08.2024, developpement digital Logiciel Informatique, Anglais Intermédiaire Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Stage
" Achats Informatique, nouvelles technologies Management, direction générale Transport, logistique"," Expérience dans les secteurs d´activité suivants : Automobile, matériels de transport, réparation Industrie, production, fabrication, autres Informatique, SSII, Internet Ingénierie, études développement Qualité, méthodes INGENIEUR PROJET B-agile Depuis 09.2024"," Compétences professionnelles : Supply Chain Management, Techniques d'Achat et d’Approvisionnement, Informatique décisionnelle, La gestion de projet (PMP, AGILE, SCRUM MASTER), Lean Management, Entreposage, Elaboration des tableaux de bord, SMQ,Simulation des Systèmes Industriels. Logiciels techniques : Minitab, Microsoft Office 365, Power BI, Risk, Sigma,Simio,Autocad. Les systèmes d’information : Microsoft Dynamics Ax, SAP, SPEED WMS, TMS Candor, CRM, WMS Essor, GOLD Stock, ERP GOLD Central, Pack ESSOR, Sage X3, GMAO Otila. Les outils informatiques : Java, language C, Base de données, VBA, Python. Les compétences linguistiques : Arabe : natale | Français : courant | Anglais : courant. Soft Skills : L’adaptation aux situations, le travail en équipe, la gestion de stress, rigoureuse.", Niveau d'études : Bac+5 et plus ingenieur d'etat en genie logistique et transport FSTS 09.2019 - 07.2024,, Anglais Bon niveau Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Casablanca Types de contrats acceptés : CDD
" Transport, logistique Informatique, nouvelles technologies Métiers des services Achats"," Expérience dans les secteurs d´activité suivants : Aéronautique, navale Informatique, SSII, Internet Services autres non renseigné", la gestion des conversations téléphonique gestion de portfeuille clients faire le travail d'un téléconseiller et aussi d'aun assistant technique dans un centre d'apel creation des sites web CMS référencement et hebergement installation des systémes d'exploitation gestion des entreprises, Niveau d'études : Bac+3 Licence en littérature anglaise univérsité  sidi Mohammed Ben Abdellah Faculté dhar al mehraz fez 09.2011 - 07.2015 littérature anglaise, Achats Installation Transport CMS, Anglais Courant Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Fès - Meknès - Rabat-Salé-Kénitra - International Lieu de résidence : Fes Types de contrats acceptés : CDI - CDD
" Informatique, nouvelles technologies Management, direction générale R&D, gestion de projets"," Expérience dans les secteurs d´activité suivants : Banque, assurance, finances Informatique, SSII, Internet Ingénierie, études développement Recherche et développement Santé, pharmacie, hôpitaux, équipements médicaux Chef de projet SI Groupe AFMA Assurances 10.2005 - 06.2007 Définition & Analyse des besoins Conception et refonte du système d’information  : 	Refonte du système d’information. 	Développement des modules de gestion des produits. 	Intégration et Migration des données Chef de projet ITERATIVE SYSTEMS 07.2007 - 07.2008 Membre du projet rap4leo & LEOPASS Projet  des échanges de compétences entre les agences nationales de la commission Européenne Chef de projet SI Flexriver 08.2008 - 07.2010 	Conception et développement d’un moteur de règle intelligent 	Mise en place des solutions de gestion des sinistres pour les assureurs (MAAF –GENERALI) 	Générateur automatique d’applications R.I.A. Consultant technique Sofrecom Maroc 07.2010 - 09.2010 Référant technique dans  les technologies RIA Java Consultant Gestion de projets SI GSDTECH 10.2010 - 05.2013 	Création d’une cellule d’étude et développement des solutions informatiques 	Mise en place d’une architecture technique interne 	Refonte du système d’information Directeur des Système d’information Groupe d'Assurance Depuis 06.2013 	Etablissement du schéma directeur des systèmes d’information de l’entreprise. 	Suivi des projets SI. 	Elaboration et validation des cahiers de charge. 	Analyse et synchronisation des flux de gestion. 	Elaboration de la cartographie des processus. 	Etablir le plan de reprise de l’activité. 	Fiabilisation des outils informatiques. 	Poursuivre et améliorer le développement de solutions applicatives. 	Fiabilisation des outils informatiques. 	Optimisation des ressources infrastructures. 	Mise en place d’une solution de dématérialisation des documents."," Esprit critique et ingénieux, axé sur les résultats, productif et sérieux, mon domaine de compétence est la mise en place des solutions inofrmatiques et la gestion des projets d' Organisation et de conduite de changement, j'ai géré plusieurs projets à grandeur différentes pour des grosses, moyennes et petites entreprises, j'ai développé plusieurs projets et systèmes d'information, j'ai participé à l'élaboration des schémas directeurs de l'entreprise et j'ai participé aux choix et mise en place des ERPs.", Niveau d'études : Bac+5 et plus Ingénieur d'ETAT en Informatique ENSIAS 09.2002 - 07.2005 Une formation Ingénieur au sein de l'Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes, Management, Anglais Bon niveau Arabe Maternelle Français Courant, Disponibilité : non renseigné Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : TANGER Types de contrats acceptés : CDI - CDD - Freelance - Statutaire
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Ingénierie, études développement non renseigné"," 🔹 Développement Fullstack (Spring Boot, React.js, Next.js, Node.js) 🔹 Bases de données (MySQL, MongoDB, Oracle) 🔹 DevOps & Gestion de projet (Git, GitHub, GitLab, Jira, Scrum) 🔹 Tests & Qualité (JUnit, Mockito, Selenium IDE) 🔹 Cloud & Microservices (Google Cloud, Docker, Kubernetes) 🔹 Langages : Java, JavaScript, Python, HTML, CSS", Niveau d'études : Bac+5 et plus Diplôme d’Ingénieur d’État en Génie Informatique et Réseaux EMSI 10.2019 - 09.2024 Ingénieur d’État en génie informatique option Méthodes Informatiques Appliquées à la Gestion des Entreprises (MIAGE),, Anglais Intermédiaire Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : CDI - Alternance
" Informatique, nouvelles technologies Tourisme, hôtellerie, restauration Transport, logistique"," Expérience dans les secteurs d´activité suivants : Automobile, matériels de transport, réparation Equip. électriques, électroniques, optiques, précision Informatique, SSII, Internet Maintenance, entretien, service après vente Transports, logistique, services postaux Téléconseiller francophone/anglophone NordWEB - Tingis - Konecta 02.2022 - 03.2023 j'ai travaillé presque une année autant que téléconseiller francophone et anglophone( 3 différents centres d'appel )"," Installation et configuration des postes informatiques (Hardware/Software) Installation et configuration des réseaux informatiques Maintenance des parcs informatiques Sécurisation des postes informatiques Logiciels de bureautique (Word, Excel, Powerpoint…) Réalisation et configuration des topologies réseau Maintenance des systèmes d’exploitation (Windows & Linux) Bonne connaissance des règles de conduite, de circulation et de stationnement. Maîtrise du matériel de navigation routière. Respect des règles d'hygiène et de sécurité Sens de l'organisation et capacité à gérer le temps de travail. Rigueur et ponctualité", Niveau d'études : Bac+2 Maintenance et Support Informatique et Réseaux OFPPT ISIM 09.2014 - 07.2016 Diplôme de Technicien en Maintenance et Support Informatique et Réseaux + 2 Certificats de Cisco Networking Academy ( CCNA Routage et communication / IT Essential ) + Certificat de Microsoft Office Word Specialist,, Anglais Bon niveau Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Ait Ourir Types de contrats acceptés : CDI - CDD - Intérim
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné"," ₋ Algorithme : Algorithme et structure des données, Algorithme avancé . ₋ Conception : Analyse Merise/BD, UML. ₋ Programmation : JAVA/JEE, Webservices, Programmation C, C++, C#, HTML, CSS, JavaScript, Matlab, SGBD et Création des Sites Web (PHP). ₋ Administration base de données : Oracle. ₋ Serveurs d’applications : Apache Tomcat. ₋ Réseaux et systèmes d’exploitation : TCP/IP, OSI, Administration Windows, Systèmes  Unix/Shell, Architecture client-serveur, Administration de réseaux, Interconnexion, Routage avancé. ₋ Gestion : Conduite de projet , gestion de l’équipe  et management de projet.", Niveau d'études : Bac+5 et plus Ingénieure en Génie Informatique École nationale des sciences appliquées de Khouribga Depuis 09.2016, APACHE CSS HTML JAVA JAVA JEE JAVASCRIPT MERISE ORACLE SHELL TCP IP TOMCAT UML UNIX, Anglais Intermédiaire Arabe Maternelle Français Courant, Disponibilité : non renseigné Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : El jadida Types de contrats acceptés : Stage
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Resp de service applications clientele Redal Rabat - Groupe Veolia Depuis 03.2015 Plusieurs postes occupés CDG 10.2013 - 01.2015 CDI Freelance", Pilotage et Gestion des projets. Gestion d'équipe. AMOA/AMOE. Digitalisation des processus. Systèmes décisionnels et de Reporting., Niveau d'études : Bac+5 et plus Ingenieur reseaux et telecom High Tech Rabat 10.2007 - 07.2011 Mastere en systemes d'information ENSMR Rabat - INSA de Lyon 10.2012 - 07.2013,, Anglais Bon niveau Arabe Maternelle Français Courant, Disponibilité : dans 1 mois Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra Lieu de résidence : Rabat-Casablanca Types de contrats acceptés : CDI - Statutaire
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet IT Enginner - SAP Functional Consultant Vivo Energy Maroc Depuis 02.2022 - Fournir un soutien analytique approfondie pour les opérations financières, en assurant la résolution rapide des incidents liés aux modules SAP FI/CO, PP et SD. -Diriger les tests de régression de bout en bout lors des mises à niveau SAP, en garantissant une fonctionnalité fluide pour les processus métier critiques. -Collaborer avec la direction financière pour optimiser les modèles de reporting CAPEX/OPEX, générant des informations exploitables pour la prise de décisions stratégiques. -Agir en tant que partenaire clé, en présentant des analyses financières complexes à la direction générale, améliorant ainsi les résultats stratégiques. -Servir de liaison entre l'informatique, les équipes fonctionnelles SAP et les parties prenantes pour aligner les priorités, les demandes de changement et la résolution des incidents. Financial Planning Analyst Vivo Energy Maroc 10.2019 - 01.2022 - Monitorer la planification et les prévisions en préparant et en distribuant des modèles de prévisions et de suivi budgétaire à l'aide de SAP Analytics Cloud (SAC). • Utiliser les données de SAC pour la consolidation et l'analyse des prévisions soumises par les parties prenantes, en préparant les rapports financiers pour la haute direction. • Générer des états financiers précis et fiables et fournir des rapports mensuels d'informations de gestion à l'équipe centrale de VE sur une base hebdomadaire et mensuelle. • Fournir des rapports périodiques et des KPI (Volume/Marge/Opex) aux équipes locales. • Fournir des rapports d'investissement précis et opportuns, y compris une analyse des écarts – [examens IP et CAPEX] et maintenir le budget d'investissement dans SAP. • Effectuer les vérifications FI-CO en collaboration avec l'équipe comptable. • Fournir un MI Pack avec analyse et commenter les facteurs à l'origine des écarts, d'un mois à l'autre par rapport à l'année précédente, les prévisions et le budget. • Aider à la préparation des besoins ponctuels, des réunions et des présentations d'examen des activités. • Améliorer les rapports financiers grâce aux processus et outils d'intégration de systèmes, et garantir que les mesures des tableaux de bord existants sont pertinentes et précises dans un modèle commercial en constante évolution."," -SAP Modules: SD, FI (GL, AR, AP, Fixed Assets), CO, PP, HM.  -SAP Tools: SAP solution Manager, SAP S/4HANA, SAP Analytics Cloud (SAC).  -Data Analytics: Financial Planning & Analysis, Budgeting, Business Intelligence, Dashboard and Story Design, Data Exploration, Data Modeling.  -Project Management: End-to-End testing, Change Management.  -Incident Management: Troubleshooting, Root cause analysis, Escalation.  -Testing Coordination: Regression testing, UAT, Functional testing, Test Strategy development.  -Stakeholder engagement: Trusted Advisor, Requirements gathering, Stakeholder communication, Cross-functional coordination.  -Soft Skills: Excellent communication, Problem-solving, Teamwork, Attention to detail."," Niveau d'études : Bac+5 et plus Engineer's degree for computer science and systems Analysis ensias 09.2015 - 01.2019 e-Management & Business Intelligence: une formation qui offre une combinaison unique de compétences en informatique et en gestion, en mettant l'accent sur l'analyse des données, les systèmes d'information et la prise de décision automatisée.", Finance & Analytics Professional | SAP Consultant Financial Planning Analyst Data Analytics SAP FICO Testing Coordination: Stakeholder Engagement Incident Management, Anglais Bon niveau Arabe Bon niveau Français Bon niveau, Disponibilité : dans 3 mois Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : CASABLANCA Types de contrats acceptés : CDI
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Service technique Webhelp 01.2017 - 03.2017 Installation des pc portable et bureau Configuration des routeur et des swetch Gost des machines Indtallation des prise et les câble", Configuration des routeur et des swetch Installation des prise et les câbles Routage statique et dynamique Installation des poste, Niveau d'études : Bac+2 Technicien spècialisè rèseau informatique Ista hay nahda rabat 01.2017 - 01.2019,, Anglais Courant Français Maternelle, Disponibilité : immédiatement Mobilité géographique : Rabat-Salé-Kénitra Lieu de résidence : Salè Types de contrats acceptés : CDD
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné"," Développement web : React, Laravel, Node.js, Vue.js Bases de données : MySQL, MongoDB Langages de programmation : JavaScript, PHP, Python Gestion de projet : Agile, Scrum Développement backend : Express, Node.js Conception de base de données : SQL, NoSQL Outils de versioning : Git, GitHub Technologies frontend : HTML, CSS, Bootstrap,Tailwind Architecture logicielle : UML"," Niveau d'études : Bac+2 Cycle d'ingénierie en Sciences des Données et Développement Informatique ESTEM Depuis 10.2024 Dans le cadre de la troisième année du cycle en sciences des données et développement informatique, cette formation inclut des modules spécialisés tels que le développement backend (Node.js, Java), le développement frontend (Angular), les bases de données (SQL, NoSQL), la modélisation (UML, XML) et des notions d’administration réseau. Ces modules sont spécifiquement étudiés en troisième année pour approfondir les compétences techniques. Technicien spécialisé en développement digital : option Web Full Stack ISTICG Berrechid 06.2022 - 07.2024 J'ai suivi une formation en Développement Digital : Option Web Full Stack, où j'ai acquis des compétences essentielles en programmation (algo, Python, JavaScript) et en développement web (HTML, CSS, PHP, React, Laravel, Node.js, Express). J'ai également appris à gérer des bases de données relationnelles (MySQL) et NoSQL (MongoDB) et à déployer des solutions sur des plateformes cloud.  En parallèle, j'ai développé des compétences transversales en soft skills (travail en équipe, gestion de projet) et renforcé ma maîtrise du français et de l'anglais technique. Cette formation m'a préparé à intervenir sur l'ensemble de la chaîne de développement web.", Développement web (React LARAVEL Node.js Vue.js) Bases de données (MySQL MongoDB) Gestion de projets agiles Développement d'applications backend (Node.js Express), Anglais Bon niveau Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Settat Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Stage
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet technicien helpdesk NTT DATA SERVICE 09.2018 - 08.2021 dernière expérience !", voir cv, Niveau d'études : Bac+2 technicien spécialisé en réseaux informatique EMEP 09.2005 - 07.2007 technicien spécialisé en réseaux informatique,, Anglais Intermédiaire Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Intérim - Temps partiel
" Informatique, nouvelles technologies Management, direction générale Marketing, communication R&D, gestion de projets"," Expérience dans les secteurs d´activité suivants : Banque, assurance, finances Informatique, SSII, Internet Ingénierie, études développement Édition, imprimerie Évènementiel, hôte(sse), accueil Informaticien à CBI CBI 09.2009 - 06.2011 Informaticien à CBI (pour le client : MEDITELECOM) Contrôle, bonne exécution, suivi des travaux quotidiens d'exploitation (Batchs, applicatifs, Techniques, livraisons applicatives, gestions des flux,...) Développeur web php natif MarocReza / Platinuim 06.2011 - 12.2013 La réalisation de plusieurs  plateformes de vente en ligne Développeur web Union Support 01.2014 - 08.2015 Développeur web chez la société union Support pour la création et le développement de plusieurs site web du group jet-contractors Chef de projet de developpement RC2K 09.2015 - 03.2023 •	Étude du besoin et chiffrage du projet •	Conception et participation au développement de quelque tâche sur des projets Php (natif & Laravel) •	Assurer la maintenance et suivre l’évolution du projet •	Rédaction de la documentation du projet Chef de projet développement Applications Free Telecom kjr telecom Depuis 03.2023 •	Assurer une bonne communication avec le client (Free Telecom). •	Chargé de la gestion et du pilotage de projets •	Responsable de la coordination avec les équipes techniques, de la gestion des délais via Trello, et du suivi des versions avec Git •	En parallèle, impliqué dans le recrutement •	Participation à la rédaction des méthodologies détaillées, de plannings de réalisation et de plans d'affectation des ressources humaines pour des appels d'offres. Technologies : Php, Laravel, Mysql, Jquery, JS Bootstrap, Git"," •	Développeur php laravel •	Assurer une bonne communication avec les clients •	Chargé de la gestion et du pilotage de projets •	Responsable de la coordination avec les équipes techniques, de la gestion des délais via Trello, et du suivi des versions avec Git •	En parallèle, impliqué sur des processus de recrutement •	Participation à la rédaction des méthodologies détaillées, de plannings de réalisation et de plans d'affectation des ressources humaines pour des appels d'offres. Technologies : Php, Laravel, Mysql, Jquery, JS Bootstrap, Gite", Niveau d'études : Bac+5 et plus Technicien spécialisé en développement informatique en NTIC2 Casablanca. NTIC2 CASABLANCA. 09.2006 - 08.2008 Technicien spécialisé en développement informatique en NTIC2 Casablanca. Formation qualifiante en JAVA J2EE NTIC2 CASABLANCA. 01.2008 - 10.2009 Formation qualifiante en JAVA J2EE. Ingénieur génie logiciel HEISI 10.2011 - 09.2014 Ingénieur génie logiciel, AJAX CSS LARAVEL Pilotage de Projets Projets de Communication Formation en Informatique PHP JAVASCRIPT BOOTSTRAP Communication Événementielle Marketing Événementiel, Anglais Intermédiaire Français Courant, Disponibilité : dans 1 mois Mobilité géographique : Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - Settat Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Freelance
" Informatique, nouvelles technologies Métiers des services RH, formation Transport, logistique"," Expérience dans les secteurs d´activité suivants : Automobile, matériels de transport, réparation Electricité, eau, gaz, nucléaire, énergie Ingénierie, études développement Services autres Éducation, formation non renseigné"," En tant qu'ingénieur en IT, j'ai développé une expertise significative dans divers domaines du développement logiciel. Mon expérience en développement frontend inclut la maîtrise des frameworks Angular et React, ce qui me permet de créer des interfaces utilisateur dynamiques et réactives. Ces compétences sont complétées par mon expertise en développement backend avec Spring Boot et Java, où je me concentre sur la construction d'architectures robustes et évolutives pour les applications. De plus, j'ai acquis une solide expérience en développement mobile en utilisant Flutter, ce qui me permet de créer des applications multiplateformes performantes et attrayantes. Mon parcours diversifié me permet de prendre en charge l'ensemble du cycle de vie des projets de développement, de la conception à la mise en production, en garantissant des solutions de haute qualité et adaptées aux besoins des utilisateurs."," Niveau d'études : Bac+5 et plus Ingénierie Informatique et réseaux  option MIAGE EMSI Marrakech 10.2021 - 07.2024 J'ai intégré l'École Marocaine des Sciences de l'Ingénieur (EMSI) à Marrakech, une institution renommée pour son excellence académique et ses programmes d'ingénierie rigoureux. Mon parcours à l'EMSI a été marqué par une formation approfondie et polyvalente, culminant avec l'obtention de mon diplôme d'ingénieur d'État en IT en juillet 2024. Cette formation a non seulement renforcé mes compétences techniques, mais m'a également permis de développer des compétences en gestion de projets, en résolution de problèmes complexes et en travail en équipe. Durant mon cursus, j'ai eu l'occasion d'explorer et de maîtriser une variété de langages de programmation et de technologies indispensables pour un ingénieur IT compétent. J'ai notamment acquis des compétences en Python, utilisé pour des projets de développement web, des analyses de données et des scripts automatisés, ainsi qu'en Java pour le développement d'applications multiplateformes et la programmation orientée objet. J'ai également travaillé avec C et C++ pour la programmation système et les applications embarquées, ainsi qu'avec JavaScript pour le développement web dynamique et interactif. Mon expertise comprend également HTML et CSS,PHP,Spring boot ..., pour la conception de pages web, SQL pour la gestion des bases de données, et des technologies telles que Flutter et Dart pour le développement d'applications mobiles. Stage MobiArchitects 03.2024 - 07.2024 Durant mon stage de quatre mois chez MobiArchitects à Casablanca, j'ai eu l'opportunité de travailler sur le développement d'applications mobiles. Ce stage a été particulièrement enrichissant, car j'ai pu participer à deux projets majeurs : l'application Salamati pour la gestion des incidents et l'application Electroplanet pour le commerce électronique.  Pour l'application Salamati, j'ai contribué au développement d'une plateforme permettant de signaler et de gérer divers types d'incidents. Ce projet m'a permis de perfectionner mes compétences en gestion de bases de données, en intégration d'APIs, et en création d'interfaces utilisateur intuitives.  Quant à l'application Electroplanet, un projet d'e-commerce, j'ai été impliqué dans la conception et la mise en œuvre de fonctionnalités clés telles que la navigation des produits, la gestion des paniers d'achat, et les systèmes de paiement sécurisés. Ce projet m'a offert une expérience précieuse dans le développement d'applications commerciales complètes, en mettant l'accent sur l'expérience utilisateur et la performance.  Ces expériences ont non seulement renforcé mes compétences techniques en développement mobile avec Flutter, mais m'ont également appris à travailler efficacement en équipe, à gérer les deadlines et à répondre aux attentes des clients. Stage JC WEB à Marrakech 07.2023 - 09.2023 Durant mon stage de deux mois chez JC Web à Marrakech, j'ai travaillé sur le développement d'une application web de gestion de cabinet médical. Ce projet m'a permis d'utiliser plusieurs technologies, notamment Spring Boot pour le backend, React.js pour le frontend, ainsi que  MySQL pour la gestion de la base de données.  L'application était conçue pour inclure deux sessions distinctes : l'une pour l'administrateur/médecin et l'autre pour l'infirmière. Pour l'administrateur et le médecin, j'ai développé des fonctionnalités de gestion des patients, de planification des rendez-vous, et de suivi des dossiers médicaux. La session infirmière comprenait des fonctionnalités adaptées pour la gestion des soins, la mise à jour des dossiers des patients, et la communication avec le médecin.  Ce stage m'a offert une expérience précieuse dans le développement full-stack, en intégrant des technologies front-end et back-end pour créer une application web robuste et fonctionnelle. J'ai également acquis des compétences en gestion de projet et en collaboration avec une équipe multidisciplinaire, tout en répondant aux exigences spécifiques du secteur médical. Stage OCP à Casablanca 07.2022 - 08.2022 Durant mon stage d'un mois à distance chez OCP à Casablanca, j'ai travaillé sur le développement d'une application mobile de livraison de repas. Ce projet a été réalisé en utilisant Flutter pour le développement de l'interface utilisateur et Firebase pour la gestion de la base de données.  L'application de livraison de repas visait à offrir une plateforme conviviale permettant aux utilisateurs de commander des repas, de suivre leurs livraisons en temps réel, et de gérer leurs préférences alimentaires. Mon rôle consistait à concevoir et à implémenter les différentes fonctionnalités de l'application, telles que le système de commande, le suivi des livraisons, et la gestion des utilisateurs.  L'utilisation de Firebase a facilité l'intégration d'une base de données en temps réel, permettant une gestion efficace des commandes et des utilisateurs. Ce stage m'a permis de renforcer mes compétences en développement mobile avec Flutter et en gestion de bases de données avec Firebase, tout en me donnant l'opportunité de travailler de manière autonome et de gérer efficacement mon temps dans un environnement de travail à distance.", Développement Marketing Développement Personnel JAVA JEE JAVA REACT ANGULAR JS NODE JS DEVEXPRESS Communication Marketing Digital Marketing Consulting Support Technique Supports Marketing, Allemand Débutant Anglais Bon niveau Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Casablanca Types de contrats acceptés : CDI - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Administration publique Banque, assurance, finances Electricité, eau, gaz, nucléaire, énergie Informatique, SSII, Internet Éducation, formation ingenieur systeme senior Boston Scientific Depuis 02.2014 ingeneiur systeme securite sociale 01.2006 - 06.2012", ingenieur systeme unix/linux/stockage, Niveau d'études : Bac+3 licence reseaux et systemes de communication Universite littoral cote d'Opale 09.2004 - 07.2005 licence reseaux et systemes de communication, LINUX UNIX, Anglais Courant Français Maternelle, Disponibilité : dans 2 mois Mobilité géographique : Casablanca-Mohammedia - Fès - Marrakech-Safi - Meknès - Rabat-Salé-Kénitra Lieu de résidence : Galway Types de contrats acceptés : CDI - CDD - Intérim - Freelance
